Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
